seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_characters,spoken_words,written_words,letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
0,8,0,0,0,0,0,16,0,1,1,4,0,0,0,0.247610694,0.137644818,0.977777778,496.9218877,0.023621015,107.6660156,147485.3947
0.1,8,0,0,0,0,0,16,0,1,1,4,0,0,0,0.247573234,0.133995849,0.989542484,498.1429709,0.021282201,107.6660156,153848.2843
0.2,8,0,0,0,0,0,16,0,1,1,4,0,0,0,0.247186457,0.133857873,0.97254902,495.9234527,0.024236543,107.6660156,338429.4333
0.3,8,0,0,0,0,0,16,0,1,1,4,0,0,0,0.245237286,0.154274995,1,492.0662605,0.053102231,107.6660156,170845.5487
0.4,8,0,0,0,0,0,16,0,1,1,4,0,0,0,0.245480452,0.158349298,1,493.8565235,0.075252028,107.6660156,193789.7767
0.5,8,0,0,0,0,0,16,0,1,1,4,0,0,0,0.245821555,0.1773342,1,498.0451831,0.04408021,107.6660156,129060.5747
0.6,8,0,0,0,0,0,16,0,1,1,4,0,0,0,0.244577846,0.187902527,1,498.3046826,0.063227725,107.6660156,140316.9817
0.7,8,0,0,0,0,0,16,0,1,1,4,0,0,0,0.243382281,0.186967479,1,496.8227217,0.055148262,107.6660156,174983.16
0.8,8,0,0,0,0,0,16,0,1,1,4,0,0,0,0.243995599,0.19107599,1,498.5648384,0.057249139,107.6660156,76790.60333
0.9,8,0,0,0,0,0,16,0,1,1,4,0,0,1,0.244119923,0.177651204,1,496.4813066,0.056018027,107.6660156,100262.82
1,8,0,0,0,0,0,17.5,0,1,1,4,0,0,1,0.243909526,0.182618363,0.996078431,495.6349374,0.048380861,107.6660156,72022.15033
1.1,8,1,0,0,0,0,17.5,0,1,1,4,0,0,1,0.24454298,0.185726829,0.979084967,497.0825303,0.029175861,107.6660156,107176.2283
1.2,8,1,0,0,0,0,19,0,1,1,4,0,0,1,0.245498089,0.179918126,0.952941176,500.1938383,0.065281458,107.6660156,133413.6033
1.3,8,1,0,0,0,0,19,0,1,1,4,0,0,1,0.245831281,0.182361795,0.924183007,499.871479,0.035814547,107.6660156,69153.24
1.4,8,1,0,0,0,0,17.5,0,1,1,4,0,0,1,0.246817352,0.177125525,1,502.1201991,0.06726489,107.6660156,134635.8133
1.5,8,1,0,0,0,0,17.5,0,1,1,4,0,0,1,0.246912525,0.186201195,1,503.8895949,0.035066094,107.6660156,112867.9633
1.6,8,1,0,0,0,0,17.5,0,1,1,4,0,0,1,0.246141,0.182946771,0.994771242,482.753909,0.053102183,107.6660156,204464.045
1.7,8,1,0,0,0,0,17.5,0,1,1,4,0,0,1,0.258087909,0.163316457,0.966013072,459.7736174,0.062701206,107.6660156,483839.81
1.8,8,1,0,0,0,0,17.5,0,1,1,4,0,0,1,0.264575543,0.105094873,1,462.2358509,0.055827754,107.6660156,358347.5437
1.9,8,1,0,0,0,0,17.5,0,1,1,4,1,0,1,0.25845916,0.133125798,0.954248366,469.3860736,0.039899674,107.6660156,477613.05
2,8,1,0,0,0,0,14.5,0,1,1,4,1,0,1,0.256353991,0.153642127,0.981699346,472.3302745,0.036320612,107.6660156,257657.5497
2.1,8,1,0,0,0,0,13,0,1,1,4,1,0,1,0.258082172,0.175051314,0.952941176,476.4153001,0.087938067,107.6660156,160648.034
2.2,7.5,1,0,0,1.5,0,10,0,1,1,4,1,0,1,0.258841439,0.184959405,0.968627451,477.458849,0.092250901,107.6660156,225414.27
2.3,6.5,1.5,1,0,0,0,10.5,0,1,1,4,1,0,1,0.260222511,0.194875479,1,488.5553688,0.066287197,107.6660156,136580.561
2.4,6.5,1.5,1,0,0,0,10.5,0,1,1,4,1,0,1,0.261421028,0.19947318,0.97124183,489.999683,0.091719566,107.6660156,131428.3467
2.5,6.5,1.5,2,0,0,0,10,0,1,1,4,1,0,1,0.261961272,0.194300766,0.976470588,491.4656845,0.054147954,108.6022418,107404.441
2.6,6.5,1.5,2.5,0,0,0,10,0,1,1,4,1,0,1,0.261918213,0.197492474,0.945098039,490.1121336,0.039202219,112.3471467,117676.5477
2.7,6.5,1.5,2.5,0,0,0,10,0,1,1,4,1,0,1,0.262937657,0.205289865,1,495.8337983,0.04475874,112.3471467,146105.512
2.8,6.5,1.5,1.5,0,0,0,10,0,1,1,4,1,0,1,0.263983543,0.204284118,0.966013072,497.2817777,0.02577028,112.3471467,91214.58333
2.9,6.5,1,0,0,0,0,10,0,1,1,4,1,0,1,0.265125581,0.205825807,0.981699346,501.7459086,0.063035846,112.3471467,131474.6733
3,6.5,1,0,0,0,0,10,0,1,1,4,1,0,1,0.266581453,0.18990832,0.975163399,509.2825817,0.069908307,112.3471467,82303.958
3.1,6.5,1,0,0,0,0,10,0,1,1,4,1,0,1,0.26811516,0.193275634,1,510.4425703,0.087767495,112.3471467,73029.43033
3.2,6.5,1,1,0,0,0,10,0,1,1,4,1,0,1,0.270223812,0.174508529,0.951633987,520.4975818,0.059413096,112.3471467,142144.7233
3.3,6.5,1,1.5,0,0,0,10,0,1,1,4,1,0,1,0.271026773,0.172784392,1,521.4140189,0.038510522,112.3471467,69944.54467
3.4,6.5,1.5,1.5,0,0,0,10,0,1,1,4,1,0,1,0.272581203,0.173815225,1,529.1553708,0.027246314,112.3471467,91915.85533
3.5,6.5,1.5,1.5,0,0,0,10.5,0,1,1,4,1,0,1,0.274660954,0.173271301,0.964705882,542.4324844,0.039730459,112.3471467,86718.21067
3.6,6.5,1.5,1.5,0,0,0,10,0,1,1,4,1,0,1,0.276318244,0.153643268,1,549.9990477,0.036966917,112.3471467,91563.51233
3.7,6.5,1.5,1.5,0,0,0,10,0,1,1,4,1,0,1,0.276409464,0.157432494,1,550.1237061,0.051513103,112.3471467,104926.9533
3.8,6.5,1.5,1.5,0,0,0,10,0,1,1,4,1,0,1,0.313574487,0.155825807,0.989542484,543.5898156,0.104680754,112.3471467,950123.1667
3.9,6.5,1.5,2.5,0,0,0,8.5,0,1,1,2,1,0,0,0.376650729,0.147948595,0.899346405,512.3717539,0.065052034,112.3471467,1368694.233
4,3,1.5,2,0,0,0,3.5,0,1,1,2,1,0,0,0.353997634,0.16171091,0.68627451,474.7380656,0.047338853,112.3471467,1119582.484
4.1,3,1.5,2,0,0,0,5,0,1,1,2,1,0,0,0.338249684,0.125858648,0.788235294,478.0517391,0.067857502,112.3471467,898637.2253
4.2,3,1.5,2,0,0,0,5,0,1,1,2,1,0,0,0.342242211,0.143263091,0.784313725,495.2098003,0.059597439,112.3471467,924779.0033
4.3,3,1.5,2,0,0,0,5,0,1,1,2,1,0,0,0.345513592,0.143951834,0.836601307,486.0041167,0.036102616,112.3471467,394277.578
4.4,1.5,1.5,2,0,0,0,0.5,0,1,1,2,1,0,0,0.348330865,0.129777869,0.777777778,498.2832274,0.029257054,112.3471467,644855.5333
4.5,1.5,1.5,2,0,0,0,0,0,1,1,2,1,0,0,0.350134954,0.121004379,0.775163399,513.9327688,0.022242476,112.3471467,595223.957
4.6,1.5,1.5,2,0,0,0,0,0,1,1,2,1,0,0,0.342662531,0.111165846,0.729411765,508.9755053,0.02662939,112.3471467,540304.171
4.7,1,1.5,1,0,0,0,0,0,1,1,2,1,0,0,0.338249595,0.12326674,0.648366013,491.5365044,0.058279776,112.3471467,1211104.2
4.8,0.5,1.5,1,0,0,0,0,0,1,1,2,1,0,0,0.339523215,0.120818509,0.728104575,481.3764649,0.067178899,112.3471467,568724.8083
