seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_chars,spoken_words,written_words,has_letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000783891,0.002918113,0.847058824,0,2.11E-05,123.046875,0.451631663
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000858874,0.002918113,0.847058824,0,3.45E-05,123.046875,9.09532475
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000982028,0.002918113,0.847058824,0,9.06E-05,123.046875,46.43248867
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001109702,0.010352527,0.847058824,0.0086229,0.000196521,123.046875,101.65723
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001141497,0.012403549,0.847058824,0.010600405,0.000319787,123.046875,30.7211665
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001321534,0.031830311,0.847058824,0.02610486,0.000376218,123.046875,212.6858087
0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001387021,0.02868152,0.847058824,0.025424758,0.000519158,123.046875,347.951665
0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001545938,0.041210455,0.847058824,0.038057306,0.000971847,121.3689631,402.3009333
0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001698884,0.041205633,0.847058824,0.041881591,0.001146427,117.4538352,1156.6625
0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001818598,0.041053723,0.847058824,0.038582873,0.001205841,117.4538352,498.87291
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0019231,0.040103363,0.847058824,0.039958955,0.002241079,117.4538352,1487.033633
1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002026359,0.041123891,0.847058824,0.039027617,0.001629985,117.4538352,1266.2584
1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002121118,0.041181199,0.847058824,0.048708419,0.003430108,117.4538352,1358.782147
1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002209226,0.044275415,0.847058824,0.057764703,0.003450294,117.4538352,1594.59715
1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002326454,0.047928,0.847058824,0.071765904,0.004642632,117.4538352,1538.1526
